doc_id,doc_type,filename,status,chars
DOC-AR-2024,annual_report,annual_report/DOC-AR-2024.pdf,ok,96860
DOC-AR-2025,annual_report,annual_report/DOC-AR-2025.pdf,ok,96830
DOC-BANK-2019,bank_statement,bank_statement/DOC-BANK-2019.pdf,ok,10649
DOC-BANK-2020,bank_statement,bank_statement/DOC-BANK-2020.pdf,ok,21317
DOC-BANK-2021,bank_statement,bank_statement/DOC-BANK-2021.pdf,ok,26657
DOC-BANK-2022,bank_statement,bank_statement/DOC-BANK-2022.pdf,ok,37337
DOC-BANK-2023,bank_statement,bank_statement/DOC-BANK-2023.pdf,ok,26669
DOC-BANK-2024,bank_statement,bank_statement/DOC-BANK-2024.pdf,ok,26669
DOC-BANK-2025,bank_statement,bank_statement/DOC-BANK-2025.pdf,ok,31993
DOC-BANK-2026,bank_statement,bank_statement/DOC-BANK-2026.pdf,ok,10649
DOC-BOND-00005,performance_bond,performance_bond/DOC-BOND-00005.pdf,ok,16724
DOC-BOND-00006,performance_bond,performance_bond/DOC-BOND-00006.pdf,ok,5467
DOC-BOND-00010,performance_bond,performance_bond/DOC-BOND-00010.pdf,ok,16238
DOC-BOND-00016,performance_bond,performance_bond/DOC-BOND-00016.pdf,ok,5397
DOC-BOND-00024,performance_bond,performance_bond/DOC-BOND-00024.pdf,ok,5468
DOC-BOND-00025,performance_bond,performance_bond/DOC-BOND-00025.pdf,ok,16721
DOC-BOND-00030,performance_bond,performance_bond/DOC-BOND-00030.pdf,ok,16726
DOC-BOND-00032,performance_bond,performance_bond/DOC-BOND-00032.pdf,ok,16498
DOC-BOND-00036,performance_bond,performance_bond/DOC-BOND-00036.pdf,ok,5468
DOC-BOND-00040,performance_bond,performance_bond/DOC-BOND-00040.pdf,ok,5467
DOC-BOND-00044,performance_bond,performance_bond/DOC-BOND-00044.pdf,ok,16724
DOC-BOND-00045,performance_bond,performance_bond/DOC-BOND-00045.pdf,ok,5467
DOC-BOND-00046,performance_bond,performance_bond/DOC-BOND-00046.pdf,ok,5467
DOC-BOND-00047,performance_bond,performance_bond/DOC-BOND-00047.pdf,ok,5468
DOC-BOND-00059,performance_bond,performance_bond/DOC-BOND-00059.pdf,ok,16729
DOC-BOND-00063,performance_bond,performance_bond/DOC-BOND-00063.pdf,ok,5467
DOC-BOND-00064,performance_bond,performance_bond/DOC-BOND-00064.pdf,ok,16493
DOC-BOND-00065,performance_bond,performance_bond/DOC-BOND-00065.pdf,ok,16723
DOC-BOND-00066,performance_bond,performance_bond/DOC-BOND-00066.pdf,ok,16498
DOC-BOND-00067,performance_bond,performance_bond/DOC-BOND-00067.pdf,ok,5262
DOC-BOND-00071,performance_bond,performance_bond/DOC-BOND-00071.pdf,ok,16727
DOC-BOND-00077,performance_bond,performance_bond/DOC-BOND-00077.pdf,ok,5396
