doc_id,doc_type,filename,size_bytes
DOC-AR-2024,annual_report,annual_report/DOC-AR-2024.pdf,118743
DOC-AR-2025,annual_report,annual_report/DOC-AR-2025.pdf,120153
DOC-BANK-2019,bank_statement,bank_statement/DOC-BANK-2019.pdf,19666
DOC-BANK-2020,bank_statement,bank_statement/DOC-BANK-2020.pdf,31170
DOC-BANK-2021,bank_statement,bank_statement/DOC-BANK-2021.pdf,38728
DOC-BANK-2022,bank_statement,bank_statement/DOC-BANK-2022.pdf,45692
DOC-BANK-2023,bank_statement,bank_statement/DOC-BANK-2023.pdf,37284
DOC-BANK-2024,bank_statement,bank_statement/DOC-BANK-2024.pdf,37215
DOC-BANK-2025,bank_statement,bank_statement/DOC-BANK-2025.pdf,44310
DOC-BANK-2026,bank_statement,bank_statement/DOC-BANK-2026.pdf,19682
DOC-BOND-00005,performance_bond,performance_bond/DOC-BOND-00005.pdf,88554
DOC-BOND-00006,performance_bond,performance_bond/DOC-BOND-00006.pdf,47342
DOC-BOND-00010,performance_bond,performance_bond/DOC-BOND-00010.pdf,101673
DOC-BOND-00016,performance_bond,performance_bond/DOC-BOND-00016.pdf,74169
DOC-BOND-00024,performance_bond,performance_bond/DOC-BOND-00024.pdf,26499
DOC-BOND-00025,performance_bond,performance_bond/DOC-BOND-00025.pdf,88602
DOC-BOND-00030,performance_bond,performance_bond/DOC-BOND-00030.pdf,88235
DOC-BOND-00032,performance_bond,performance_bond/DOC-BOND-00032.pdf,132866
DOC-BOND-00036,performance_bond,performance_bond/DOC-BOND-00036.pdf,26803
DOC-BOND-00040,performance_bond,performance_bond/DOC-BOND-00040.pdf,46954
DOC-BOND-00044,performance_bond,performance_bond/DOC-BOND-00044.pdf,68021
DOC-BOND-00045,performance_bond,performance_bond/DOC-BOND-00045.pdf,47092
DOC-BOND-00046,performance_bond,performance_bond/DOC-BOND-00046.pdf,47059
DOC-BOND-00047,performance_bond,performance_bond/DOC-BOND-00047.pdf,26729
DOC-BOND-00059,performance_bond,performance_bond/DOC-BOND-00059.pdf,67883
DOC-BOND-00063,performance_bond,performance_bond/DOC-BOND-00063.pdf,47334
DOC-BOND-00064,performance_bond,performance_bond/DOC-BOND-00064.pdf,133033
DOC-BOND-00065,performance_bond,performance_bond/DOC-BOND-00065.pdf,88228
DOC-BOND-00066,performance_bond,performance_bond/DOC-BOND-00066.pdf,133330
DOC-BOND-00067,performance_bond,performance_bond/DOC-BOND-00067.pdf,52276
DOC-BOND-00071,performance_bond,performance_bond/DOC-BOND-00071.pdf,67843
DOC-BOND-00077,performance_bond,performance_bond/DOC-BOND-00077.pdf,74144
DOC-BOND-00082,performance_bond,performance_bond/DOC-BOND-00082.pdf,88551
DOC-BOND-00085,performance_bond,performance_bond/DOC-BOND-00085.pdf,26774
DOC-BOND-00087,performance_bond,performance_bond/DOC-BOND-00087.pdf,52436
DOC-BOND-00091,performance_bond,performance_bond/DOC-BOND-00091.pdf,47092
DOC-BOND-00095,performance_bond,performance_bond/DOC-BOND-00095.pdf,101450
DOC-BOND-00101,performance_bond,performance_bond/DOC-BOND-00101.pdf,26305
DOC-BOND-00105,performance_bond,performance_bond/DOC-BOND-00105.pdf,51973
DOC-BOND-00117,performance_bond,performance_bond/DOC-BOND-00117.pdf,133143
DOC-BOND-00119,performance_bond,performance_bond/DOC-BOND-00119.pdf,88298
DOC-BOND-00120,performance_bond,performance_bond/DOC-BOND-00120.pdf,73767
DOC-BOND-00128,performance_bond,performance_bond/DOC-BOND-00128.pdf,47149
DOC-BOND-00132,performance_bond,performance_bond/DOC-BOND-00132.pdf,26652
DOC-BOND-00136,performance_bond,performance_bond/DOC-BOND-00136.pdf,52310
DOC-BOND-00143,performance_bond,performance_bond/DOC-BOND-00143.pdf,52260
DOC-BOND-00150,performance_bond,performance_bond/DOC-BOND-00150.pdf,101409
DOC-BOND-00160,performance_bond,performance_bond/DOC-BOND-00160.pdf,74385
DOC-BOND-00170,performance_bond,performance_bond/DOC-BOND-00170.pdf,133139
DOC-BOND-00171,performance_bond,performance_bond/DOC-BOND-00171.pdf,67907
DOC-BOND-00174,performance_bond,performance_bond/DOC-BOND-00174.pdf,26572
DOC-BOND-00181,performance_bond,performance_bond/DOC-BOND-00181.pdf,26709
DOC-BOND-00184,performance_bond,performance_bond/DOC-BOND-00184.pdf,101986
DOC-BOND-00189,performance_bond,performance_bond/DOC-BOND-00189.pdf,26878
DOC-BOND-00190,performance_bond,performance_bond/DOC-BOND-00190.pdf,88505
DOC-BOND-00192,performance_bond,performance_bond/DOC-BOND-00192.pdf,133467
DOC-BOND-00202,performance_bond,performance_bond/DOC-BOND-00202.pdf,26485
DOC-BOND-00208,performance_bond,performance_bond/DOC-BOND-00208.pdf,88516
DOC-BOND-00211,performance_bond,performance_bond/DOC-BOND-00211.pdf,26177
DOC-BOND-00212,performance_bond,performance_bond/DOC-BOND-00212.pdf,46919
DOC-BOND-00214,performance_bond,performance_bond/DOC-BOND-00214.pdf,101920
DOC-BOND-00216,performance_bond,performance_bond/DOC-BOND-00216.pdf,88612
DOC-BOND-00217,performance_bond,performance_bond/DOC-BOND-00217.pdf,67710
DOC-BOND-00219,performance_bond,performance_bond/DOC-BOND-00219.pdf,74235
DOC-BOND-00220,performance_bond,performance_bond/DOC-BOND-00220.pdf,88350
DOC-BOND-00225,performance_bond,performance_bond/DOC-BOND-00225.pdf,133164
DOC-BOND-00231,performance_bond,performance_bond/DOC-BOND-00231.pdf,47253
DOC-BOND-00235,performance_bond,performance_bond/DOC-BOND-00235.pdf,47053
DOC-BOND-00236,performance_bond,performance_bond/DOC-BOND-00236.pdf,47285
DOC-BOND-00238,performance_bond,performance_bond/DOC-BOND-00238.pdf,68051
DOC-CC-001,completion_certificate,completion_certificate/DOC-CC-001.pdf,142622
